timestamp,heart_rate,pace,distance,cadence,altitude
2024-01-15 08:00:00,120,6.0,0.0,160,100
2024-01-15 08:05:00,125,5.8,0.5,162,102
2024-01-15 08:10:00,130,5.6,1.0,164,105
2024-01-15 08:15:00,135,5.5,1.5,165,110
2024-01-15 08:20:00,140,5.4,2.0,166,115
2024-01-15 08:25:00,145,5.3,2.5,167,120
2024-01-15 08:30:00,150,5.2,3.0,168,125
2024-01-15 08:35:00,155,5.2,3.5,169,130
2024-01-15 08:40:00,160,5.1,4.0,170,135
2024-01-15 08:45:00,165,5.0,4.5,171,140
2024-01-15 08:50:00,170,4.9,5.0,172,145
2024-01-15 08:55:00,175,4.8,5.5,173,150
2024-01-15 09:00:00,180,4.7,6.0,174,155
2024-01-15 09:05:00,185,4.6,6.5,175,160
2024-01-15 09:10:00,180,4.7,7.0,174,155
2024-01-15 09:15:00,175,4.8,7.5,173,150
2024-01-15 09:20:00,170,4.9,8.0,172,145
2024-01-15 09:25:00,165,5.0,8.5,171,140
2024-01-15 09:30:00,160,5.1,9.0,170,135
2024-01-15 09:35:00,155,5.2,9.5,169,130
2024-01-15 09:40:00,150,5.3,10.0,168,125
